filename,split,scene_id,source_id,material,lighting,shadow_level,hard_negative_tags,notes
00c4b19bc9614fa5.jpg,train,unknown,auto_extracted,gravel,daylight,mottled,high_texture,
0a507f1c-3ee431e7.jpg,train,unknown,auto_extracted,gravel,daylight,heavy,high_texture,
1200-1-1s.jpg,train,unknown,auto_extracted,gravel,daylight,heavy,high_texture,
138444.jpg,train,unknown,auto_extracted,gravel,daylight,heavy,high_texture,
2173371_3.jpg,train,unknown,auto_extracted,gravel,daylight,mottled,high_texture,
2927257_1_1.jpg,train,unknown,auto_extracted,gravel,daylight,mottled,high_texture,
3055.jpg,train,unknown,auto_extracted,gravel,daylight,heavy,high_texture,
360_F_64017651_wYll2mTJh8zNVj7mK6Do0gZO09X0Ezq0.jpg,train,unknown,auto_extracted,gravel,daylight,heavy,high_texture,
a-dirt-road-leading-out-of-a-forest-in-jake-wyman.jpg,train,a-dirt-road-leading-out-of-a-forest-in-jake-wyman,auto_extracted,gravel,night,none,high_texture,
after_photos_60-40_gravel_2.jpg,train,after_photos,auto_extracted,gravel,daylight,none,high_texture,
Appia_antica_2-7-05_062.jpg,train,Appia_antica,auto_extracted,asphalt,daylight,heavy,,
b85a12ccffe8e7c5a81eb5d437c50dbe.jpg,train,b,auto_extracted,gravel,night,none,high_texture,
Belgian-blocks-on-Chestnut-Street.jpg,train,Belgian-blocks-on-Chestnut-Street,auto_extracted,asphalt,daylight,heavy,,
Berg_ten_Houte_03.jpg,train,Berg_ten_Houte,auto_extracted,asphalt,daylight,mottled,,
Berg_ten_Houte_04.jpg,train,Berg_ten_Houte,auto_extracted,asphalt,daylight,heavy,,
Berg_ten_Houte_05.jpg,train,Berg_ten_Houte,auto_extracted,asphalt,daylight,mottled,,
Berg_ten_Houte_06.jpg,train,Berg_ten_Houte,auto_extracted,asphalt,daylight,heavy,,
Berg_ten_Houte_11.jpg,train,Berg_ten_Houte,auto_extracted,asphalt,daylight,heavy,,
Bosberg_04.jpg,train,Bosberg,auto_extracted,asphalt,daylight,none,,
CaWN3aQscHUWdB7fgDjnze.jpg,train,CaWN,auto_extracted,gravel,daylight,none,high_texture,
cement-concrete-road-works.jpg,train,cement-concrete-road-works,auto_extracted,asphalt,daylight,none,,
e896b385ab9bee3df9d5a97a04d32a00.jpg,train,e,auto_extracted,gravel,daylight,heavy,high_texture,
forest-path-bob-van-den-berg-photography.jpg,train,forest-path-bob-van-den-berg-photography,auto_extracted,gravel,daylight,heavy,high_texture,
forest-road-2.jpg,train,forest-road,auto_extracted,asphalt,daylight,heavy,,
forestroadmanagement.jpg,train,forestroadmanagement,auto_extracted,asphalt,night,none,,
Gravel_RatTrap-IMG_1716_COVER.jpg,train,Gravel_RatTrap-IMG,auto_extracted,gravel,daylight,mottled,high_texture,
ground-pearls-turf.jpg,train,ground-pearls-turf,auto_extracted,gravel,daylight,none,high_texture,
