Filename,Material,Area_Percentage,Label_Path
63988910-paving-stone-square-texture-closeup-view-on-cobblestone-road-with-white-lines-outdoor-street.txt,Belgian,100.00%,input\road\labels\Belgian\63988910-paving-stone-square-texture-closeup-view-on-cobblestone-road-with-white-lines-outdoor-street.txt
a131xgfd.txt,Belgian,100.00%,input\road\labels\Belgian\a131xgfd.txt
qwe74641a3sf.txt,Belgian,100.00%,input\road\labels\Belgian\qwe74641a3sf.txt
CaWN3aQscHUWdB7fgDjnze.txt,Gravel,100.00%,input\road\labels\Gravel\CaWN3aQscHUWdB7fgDjnze.txt
lssrt468.txt,Belgian,97.45%,input\road\labels\Belgian\lssrt468.txt
qwewer24a7.txt,Belgian,97.05%,input\road\labels\Belgian\qwewer24a7.txt
200d7f040cb1eb5e894baf8669adb359.txt,Belgian,96.22%,input\road\labels\Belgian\200d7f040cb1eb5e894baf8669adb359.txt
rte1rt3h4.txt,Belgian,93.22%,input\road\labels\Belgian\rte1rt3h4.txt
product-jpeg.txt,cement,91.04%,input\road\labels\cement\product-jpeg.txt
Sett_block_paved_street_in_Philadelphia_PA.txt,Belgian,89.12%,input\road\labels\Belgian\Sett_block_paved_street_in_Philadelphia_PA.txt
qwe132as.txt,Belgian,87.83%,input\road\labels\Belgian\qwe132as.txt
Cobblestone_street_2_1073d9d9-9143-4d17-9b13-c08bd02056e2.txt,Belgian,86.68%,input\road\labels\Belgian\Cobblestone_street_2_1073d9d9-9143-4d17-9b13-c08bd02056e2.txt
98743zz4s6.txt,Gravel,83.55%,input\road\labels\Gravel\98743zz4s6.txt
513rty84.txt,Belgian,79.23%,input\road\labels\Belgian\513rty84.txt
518001566_10227437469826460_8526992498023964257_n.txt,Gravel,77.86%,input\road\labels\Gravel\518001566_10227437469826460_8526992498023964257_n.txt
ppr13r4wr2.txt,Gravel,77.32%,input\road\labels\Gravel\ppr13r4wr2.txt
we413dfg.txt,Belgian,76.36%,input\road\labels\Belgian\we413dfg.txt
kjhjk111.txt,Gravel,75.13%,input\road\labels\Gravel\kjhjk111.txt
belgian-paving-stones-for-test-track.txt,Belgian,75.02%,input\road\labels\Belgian\belgian-paving-stones-for-test-track.txt
product-jpeg6541.txt,cement,74.87%,input\road\labels\cement\product-jpeg6541.txt
32as32as4a.txt,Gravel,71.71%,input\road\labels\Gravel\32as32as4a.txt
tyrthb134.txt,Belgian,69.28%,input\road\labels\Belgian\tyrthb134.txt
jq1w3eaqdft.txt,cement,68.56%,input\road\labels\cement\jq1w3eaqdft.txt
cement-concrete-road-works.txt,cement,68.24%,input\road\labels\cement\cement-concrete-road-works.txt
kuegfdfgh5447.txt,cement,68.17%,input\road\labels\cement\kuegfdfgh5447.txt
cement-road-construction-service.txt,cement,67.05%,input\road\labels\cement\cement-road-construction-service.txt
concreteroadway.txt,cement,66.38%,input\road\labels\cement\concreteroadway.txt
2923179_2_1.txt,cement,62.44%,input\road\labels\cement\2923179_2_1.txt
Belgian-blocks-on-Chestnut-Street.txt,Belgian,61.08%,input\road\labels\Belgian\Belgian-blocks-on-Chestnut-Street.txt
ehicle-testing-at-Belgian-pave-test-track.txt,Belgian,60.43%,input\road\labels\Belgian\ehicle-testing-at-Belgian-pave-test-track.txt
kk48kk741.txt,asphalt,60.42%,input\road\labels\asphalt\kk48kk741.txt
3574wa132.txt,Belgian,60.30%,input\road\labels\Belgian\3574wa132.txt
