filename,iou,precision,recall,gt_area_ratio,pred_area_ratio,top_region_recall,failure_type,bottom_connected
0004a4c0-d4dff0ad.jpg,0.0,0.0,0.0,0.0133,0.0,1.0,under_segmentation,True
00fa57709c61887a.jpg,0.0,0.0,0.0,0.0,0.0,1.0,true_negative,True
00fb75eb523cceec.jpg,0.0,0.0,0.0,0.0,0.0,1.0,true_negative,True
02cd5102-be5e0217.jpg,0.0,0.0,0.0,0.2648,0.0,1.0,false_negative,True
03d02bb9-e76acf3f.jpg,0.0,0.0,0.0,0.1634,0.0,1.0,false_negative,True
0aa0297e-378da79c.jpg,0.0,0.0,0.0,0.0813,0.0,1.0,false_negative,True
0aab648b-ea86909c.jpg,0.0,0.0,0.0,0.2308,0.0,1.0,false_negative,True
0ad051b9-9a513e8a.jpg,0.4144,0.705,0.5013,0.1474,0.1048,1.0,other_failure,False
0af801e9-aa8d36ab.jpg,0.0,0.0,0.0,0.2376,0.0,1.0,false_negative,True
0bb3f3d3-12b85638.jpg,0.0,0.0,0.0,0.0759,0.0,1.0,false_negative,True
0c2cb3d5-0bdfd48d.jpg,0.0,0.0,0.0,0.0,0.0,1.0,true_negative,True
0c506e60-ff9e0000.jpg,0.0,0.0,0.0,0.1008,0.0,1.0,false_negative,True
0c506e60-ff9e0001.jpg,0.0,0.0,0.0,0.1039,0.0,1.0,false_negative,True
0c8a7a98-e267fd54.jpg,0.0,0.0,0.0,0.236,0.0,1.0,false_negative,True
0c8b32af-2d9a6111.jpg,0.3288,0.9306,0.3371,0.2379,0.0862,1.0,under_segmentation,False
0d53c976-0532e5df.jpg,0.0,0.0,0.0,0.156,0.0,1.0,false_negative,True
1b53c663-f78b6ac7.jpg,0.0,0.0,0.0,0.0,0.0,1.0,true_negative,True
1d6dd768-d9ade38a.jpg,0.0,0.0,0.0,0.0,0.0,1.0,true_negative,True
1da45647-4d28c352.jpg,0.0,0.0,0.0,0.0,0.0,1.0,true_negative,True
200d7f040cb1eb5e894baf8669adb359.jpg,0.934,1.0,0.934,0.9624,0.899,0.7886,pass,True
2923179_2_1.jpg,0.9329,0.9946,0.9377,0.6252,0.5894,0.8313,pass,True
360_F_309041299_fucpREMWXjdBrghlPefPXLAYrgkbn1FJ.jpg,0.8404,0.9964,0.843,0.1375,0.1164,1.0,pass,True
481154132_949837957226193_6129459020441505710_n.jpg,0.9686,0.9949,0.9735,0.4816,0.4712,0.2341,perspective_failure,True
8tk1z3mk12u91.jpg,0.8928,0.938,0.9488,0.3269,0.3306,0.1606,perspective_failure,True
appia_20200725161042.jpg,0.9007,0.908,0.9912,0.2932,0.32,1.0,pass,True
Cobblestone_street_2_1073d9d9-9143-4d17-9b13-c08bd02056e2.jpg,0.9879,0.9988,0.989,0.867,0.8585,0.9844,pass,True
concreteroadway.jpg,0.9877,0.99,0.9977,0.6653,0.6704,0.9874,pass,True
Deploeg_desmisse.jpg,0.0,0.0,0.0,0.059,0.0,1.0,false_negative,True
Ford-driving-hazard-test-road-in-Belgium.jpg,0.0,0.0,0.0,0.4455,0.0,0.0,false_negative,True
Nissan-Belgisch-Block-01-min.jpg,0.0,0.0,0.0,0.3377,0.0,0.0,false_negative,True
TEC-gravel-road-ads278674305-1400x800-2.jpg,0.9664,0.9901,0.9758,0.4408,0.4344,0.8815,pass,True
via-appia-by-stijn-nieuwendijk.jpg,0.9582,0.9786,0.9787,0.4147,0.4148,1.0,pass,True
Via-Appia.jpg,0.9439,0.9536,0.9893,0.3541,0.3673,1.0,pass,True
cement-road-construction-service.jpeg,0.9871,0.99,0.9971,0.6708,0.6756,0.9897,pass,True
98743zz4s6.png,0.9639,0.9902,0.9732,0.8359,0.8215,0.9909,pass,True
asqweq1321.png,0.8313,0.9162,0.8997,0.0975,0.0958,1.0,pass,True
asye1z37431.png,0.9499,0.9897,0.9593,0.428,0.4149,1.0,pass,True
ehicle-testing-at-Belgian-pave-test-track.png,0.9592,0.9646,0.9942,0.6061,0.6247,1.0,pass,True
jj874aa.png,0.9413,0.9493,0.9911,0.352,0.3675,1.0,pass,True
nn879n.png,0.9622,0.9997,0.9625,0.53,0.5103,1.0,pass,True
oiug31r54.png,0.8725,0.9894,0.8807,0.2376,0.2115,1.0,pass,True
ppr13r4wr2.png,0.9853,0.998,0.9872,0.7744,0.766,0.9614,pass,True
qwe132as.png,0.9869,0.9916,0.9952,0.8788,0.8821,0.9931,pass,True
rte1rt3h4.png,0.9253,0.9996,0.9256,0.9327,0.8636,0.7424,pass,True
rw13584sdddd.png,0.0,0.0,0.0,0.0,0.9879,1.0,false_positive,True
tyrthb134.png,0.9724,0.9734,0.9989,0.6948,0.7131,0.9971,pass,True
wrtywert147774.png,0.9336,0.9917,0.941,0.471,0.4469,1.0,pass,True
x7a94r3rqw.png,0.9836,0.9914,0.992,0.5289,0.5292,1.0,pass,True
zfgh443.png,0.9262,0.9981,0.9278,0.3912,0.3636,1.0,pass,True
