scene_id,original_count,kept_count,removed_count,reason
unknown,88,8,80,Downsampled from 88 to 8
a-dirt-road-leading-out-of-a-forest-in-jake-wyman,1,1,0,Count <= 8
after_photos,1,1,0,Count <= 8
Appia_antica,1,1,0,Count <= 8
b,1,1,0,Count <= 8
Belgian-blocks-on-Chestnut-Street,1,1,0,Count <= 8
Berg_ten_Houte,5,5,0,Count <= 8
Bosberg,2,2,0,Count <= 8
CaWN,1,1,0,Count <= 8
cement-concrete-road-works,1,1,0,Count <= 8
e,1,1,0,Count <= 8
forest-path-bob-van-den-berg-photography,1,1,0,Count <= 8
forest-road,1,1,0,Count <= 8
forestroadmanagement,1,1,0,Count <= 8
Gravel_RatTrap-IMG,1,1,0,Count <= 8
ground-pearls-turf,1,1,0,Count <= 8
Holleweg_Oudenaarde,1,1,0,Count <= 8
img,9,8,1,Downsampled from 9 to 8
istockphoto,1,1,0,Count <= 8
photo,1,1,0,Count <= 8
PRC,1,1,0,Count <= 8
product-jpeg,2,2,0,Count <= 8
road-through-dense-forest,1,1,0,Count <= 8
Sett_block_paved_street_in_Philadelphia_PA,1,1,0,Count <= 8
steel-gravel-driveway,1,1,0,Count <= 8
via-appia,1,1,0,Count <= 8
yorkshire-dales-gravel-v,1,1,0,Count <= 8
Zwalm_Brouwerijstraat,1,1,0,Count <= 8
belgian-paving-stones-for-test-track,1,1,0,Count <= 8
cement-concrete-road-construction-services,1,1,0,Count <= 8
free-photo-of-dirt-road-in-deep-forest,1,1,0,Count <= 8
free-photo-of-dirt-road-in-forest,1,1,0,Count <= 8
rome-via-appica-weg,1,1,0,Count <= 8
a,1,1,0,Count <= 8
aehsj,1,1,0,Count <= 8
aghahe,1,1,0,Count <= 8
agufdxj,1,1,0,Count <= 8
ahyyi,1,1,0,Count <= 8
dftghfdh,1,1,0,Count <= 8
hhh,1,1,0,Count <= 8
i,1,1,0,Count <= 8
idrt,1,1,0,Count <= 8
jq,1,1,0,Count <= 8
kjhjk,1,1,0,Count <= 8
kk,1,1,0,Count <= 8
kuegfdfgh,1,1,0,Count <= 8
l,1,1,0,Count <= 8
lkjhg,1,1,0,Count <= 8
lssrt,1,1,0,Count <= 8
mrqqerqer,1,1,0,Count <= 8
mw,1,1,0,Count <= 8
nnnqnqr,1,1,0,Count <= 8
nqtyw,1,1,0,Count <= 8
nwerbgzfgdg,1,1,0,Count <= 8
oiuyt,1,1,0,Count <= 8
q,2,2,0,Count <= 8
qerhd,1,1,0,Count <= 8
qwe,1,1,0,Count <= 8
qwewer,1,1,0,Count <= 8
Shaktiman-Road-Ardoi,1,1,0,Count <= 8
Shaktiman-Road-Hadam,2,2,0,Count <= 8
tert,1,1,0,Count <= 8
uuuw,1,1,0,Count <= 8
w,1,1,0,Count <= 8
we,1,1,0,Count <= 8
wrgt,1,1,0,Count <= 8
